2026-04-27 11:32:31 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 11:32:32 | INFO | 📊 DB 撈取筆數: 80265
2026-04-27 11:32:34 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 11:32:34 | INFO | 📊 DB 撈取筆數: 80265
2026-04-27 11:32:35 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 11:32:36 | INFO | 📊 DB 撈取筆數: 80265
2026-04-27 11:33:34 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 11:33:34 | INFO | 📊 DB 撈取筆數: 80265
2026-04-27 16:09:46 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 16:09:47 | INFO | 📊 DB 撈取筆數: 80340
2026-04-27 18:47:48 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 18:48:09 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 18:48:09 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:02:49 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:02:49 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:02:57 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:02:58 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:02:59 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:02:59 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:03:03 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:03:03 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:03:08 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:03:08 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:03:10 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:03:10 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:03:14 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:03:14 | INFO | 📊 DB 撈取筆數: 9262
2026-04-27 19:04:03 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:04:03 | INFO | 📊 DB 撈取筆數: 9264
2026-04-27 19:04:06 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:04:06 | INFO | 📊 DB 撈取筆數: 9264
2026-04-27 19:04:25 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:04:25 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:04:39 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:04:39 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:36 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:36 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:41 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:41 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:43 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:43 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:45 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:45 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:47 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:47 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:49 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:49 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:52 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:52 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:58 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:58 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:07:59 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:07:59 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:08:02 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:08:02 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:08:06 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:08:06 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:08:11 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:08:11 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:08:13 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:08:13 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:08:39 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:08:39 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:11:40 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:11:40 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:11:44 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:11:44 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:11:48 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:11:48 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:14:24 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:14:24 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:14:30 | INFO | 📥 收到 /api/timeline-data 請求
2026-04-27 19:14:30 | INFO | 📊 DB 撈取筆數: 9265
2026-04-27 19:14:32 | INFO | 📥 收到 /api/timeline-data 請求
