2026-06-12 20:24:57 | INFO    | [系統啟動] 工作管理系統後端啟動 port=5000
2026-06-12 20:25:04 | INFO    | [系統啟動] 工作管理系統後端啟動 port=5000
2026-06-12 20:25:04 | INFO    | [系統啟動] 工作管理系統後端啟動 port=5000
2026-06-12 20:25:14 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:25:21 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:25:23 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:21 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:24 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:29 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:31 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:32 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:34 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:27:54 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:28:12 | INFO    | [新增任務] id=b5247b8c-e852-44c7-a1a3-d03d2420e875 提案人=K18251 組織=FT01營運(硬) 描述=456456456
2026-06-12 20:28:17 | INFO    | [權限查詢] 帳號=K18251 is_admin=True 管轄=['FT01營運(資)']
2026-06-12 20:28:22 | INFO    | [新增進度] 任務id=b5247b8c-e852-44c7-a1a3-d03d2420e875 父節點=頂層 內容=4445
2026-06-12 20:28:23 | INFO    | [新增進度] 任務id=b5247b8c-e852-44c7-a1a3-d03d2420e875 父節點=頂層 內容=456456
2026-06-12 20:28:24 | INFO    | [新增進度] 任務id=b5247b8c-e852-44c7-a1a3-d03d2420e875 父節點=頂層 內容=786786
2026-06-12 20:28:26 | INFO    | [新增進度] 任務id=b5247b8c-e852-44c7-a1a3-d03d2420e875 父節點=頂層 內容=456456
2026-06-12 20:28:28 | INFO    | [新增進度] 任務id=b5247b8c-e852-44c7-a1a3-d03d2420e875 父節點=39b4eb52-f1b0-4f68-b3be-5bd6f91213cc 內容=786786
2026-06-12 20:28:30 | INFO    | [新增進度] 任務id=b5247b8c-e852-44c7-a1a3-d03d2420e875 父節點=39b4eb52-f1b0-4f68-b3be-5bd6f91213cc 內容=786786
